# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

guanosine nucleotides degradation II|PWY-6606|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|0.15112129|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6606
NAD/NADH phosphorylation and dephosphorylation|PWY-5083|||0.15621778|6.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5083
xanthine and xanthosine salvage|SALVPURINE2-PWY|||0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVPURINE2-PWY
thiamine formation from pyrithiamine and oxythiamine (yeast)|PWY-7357|||0.16798101|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7357
phenylethanol biosynthesis|PWY-5751|||0.16925554|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5751
glutathione-mediated detoxification I|PWY-4061|||0.16925554|2.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4061
flavin biosynthesis III (fungi)|PWY-6168|Flavin Biosynthesis|Flavin-Biosynthesis|0.17229255|1.4444444|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6168
D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis|PWY-6365|||0.17641555|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6365
fatty acid beta-oxidation (peroxisome, yeast)|PWY-7288|||0.17740169|5.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7288
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.18069123|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
N10-formyl-tetrahydrofolate biosynthesis|1CMET2-PWY|||0.18517211|1.4444444|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=1CMET2-PWY
